stage,cell_line,density,time,sample_mean,sample_sd,n_wells,dose,mix,component
Stage 3,,20k,14.0,519.14,101.483560737688,3,,50-50,resistant
Stage 3,,20k,1.0,19.429999999999996,6.731040038508165,3,,50-50,sensitive
Stage 3,,20k,2.0,55.28333333333334,19.362474876247955,3,,50-50,sensitive
Stage 3,,20k,3.0,144.22333333333333,45.90778401680191,3,,50-50,sensitive
Stage 3,,20k,4.0,405.09,128.567570950065,3,,50-50,sensitive
Stage 3,,20k,5.0,1191.8633333333332,268.17460288650244,3,,50-50,sensitive
Stage 3,,20k,6.0,947.3433333333334,82.65096873802105,3,,50-50,sensitive
Stage 3,,20k,7.0,1698.1066666666666,263.30669614222376,3,,50-50,sensitive
Stage 3,,20k,8.0,2026.4033333333334,260.14935063023563,3,,50-50,sensitive
Stage 3,,20k,9.0,1937.7299999999998,271.4303116823911,3,,50-50,sensitive
Stage 3,,20k,10.0,2396.2833333333333,275.1431929620164,3,,50-50,sensitive
Stage 3,,20k,11.0,2527.3933333333334,62.07701856027999,3,,50-50,sensitive
Stage 3,,20k,12.0,2748.9966666666664,316.13049272940026,3,,50-50,sensitive
Stage 3,,20k,13.0,2943.03,319.919666635235,3,,50-50,sensitive
Stage 3,,20k,14.0,2942.056666666667,120.32380326989882,3,,50-50,sensitive
Stage 3,,20k,1.0,11.136666666666665,1.1063603993877105,3,,75-25,resistant
Stage 3,,20k,2.0,19.916666666666664,3.6282272990171567,3,,75-25,resistant
Stage 3,,20k,3.0,30.603333333333335,8.148971305222112,3,,75-25,resistant
Stage 3,,20k,4.0,72.57666666666667,4.063943077029168,3,,75-25,resistant
Stage 3,,20k,5.0,135.09,4.355720376700056,3,,75-25,resistant
Stage 3,,20k,6.0,172.97000000000003,12.293571490823986,3,,75-25,resistant
Stage 3,,20k,7.0,227.50666666666666,8.235929415271436,3,,75-25,resistant
Stage 3,,20k,8.0,317.33,4.977198006911105,3,,75-25,resistant
Stage 3,,20k,9.0,369.6333333333334,35.108227430807894,3,,75-25,resistant
Stage 3,,20k,10.0,281.56666666666666,42.6848747606612,3,,75-25,resistant
Stage 3,,20k,11.0,418.8633333333333,59.398411033741766,3,,75-25,resistant
Stage 3,,20k,12.0,261.56,66.22565137467505,3,,75-25,resistant
Stage 3,,20k,13.0,309.22666666666663,24.090135602219707,3,,75-25,resistant
Stage 3,,20k,14.0,194.61333333333332,14.892824894335313,3,,75-25,resistant
Stage 3,,20k,1.0,20.683333333333334,1.2658725580931651,3,,75-25,sensitive
Stage 3,,20k,2.0,64.20333333333333,5.79739021744555,3,,75-25,sensitive
Stage 3,,20k,3.0,168.48666666666668,1.171850388630439,3,,75-25,sensitive
Stage 3,,20k,4.0,473.56666666666666,30.937914172311842,3,,75-25,sensitive
Stage 3,,20k,5.0,1202.4333333333334,38.77005588509418,3,,75-25,sensitive
Stage 3,,20k,6.0,748.59,410.81925672976917,3,,75-25,sensitive
Stage 3,,20k,7.0,1784.08,115.70190966444771,3,,75-25,sensitive
