cell_line,model,pooling_mode,density,parameter,center_value,effective_value,deviation_percent,parameter_scope
A2780cis,theta_logistic_growth,independent_diagnostic,20k,theta,3.53893388546968,3.4494208892404665,-2.5293774658164736,independent_diagnostic
A2780cis,theta_logistic_growth,independent_diagnostic,30k,theta,3.53893388546968,3.630769757552903,2.5950151954035494,independent_diagnostic
A2780cis,lagged_theta_logistic_growth,shared,20k,r,0.7413830717660111,0.7413830717660111,0.0,shared_across_densities
A2780cis,lagged_theta_logistic_growth,shared,30k,r,0.7413830717660111,0.7413830717660111,0.0,shared_across_densities
A2780cis,lagged_theta_logistic_growth,shared,20k,K,3820.3074446792393,3820.3074446792393,0.0,shared_across_densities
A2780cis,lagged_theta_logistic_growth,shared,30k,K,3820.3074446792393,3820.3074446792393,0.0,shared_across_densities
A2780cis,lagged_theta_logistic_growth,shared,20k,theta,1.4586336200366865,1.4586336200366865,0.0,shared_across_densities
A2780cis,lagged_theta_logistic_growth,shared,30k,theta,1.4586336200366865,1.4586336200366865,0.0,shared_across_densities
A2780cis,lagged_theta_logistic_growth,shared,20k,lag_time,1.8205028950402544,1.8205028950402544,0.0,shared_across_densities
A2780cis,lagged_theta_logistic_growth,shared,30k,lag_time,1.8205028950402544,1.8205028950402544,0.0,shared_across_densities
A2780cis,lagged_theta_logistic_growth,partial_5pct,20k,r,0.6529668921517607,0.6652799832414777,1.885714457763843,partial_5pct
A2780cis,lagged_theta_logistic_growth,partial_5pct,30k,r,0.6529668921517607,0.6408816934021153,-1.850813401858764,partial_5pct
A2780cis,lagged_theta_logistic_growth,partial_5pct,20k,K,3812.4980597627177,3821.6946340238046,0.24122174272422914,partial_5pct
A2780cis,lagged_theta_logistic_growth,partial_5pct,30k,K,3812.4980597627177,3803.3236162541475,-0.2406412636742794,partial_5pct
A2780cis,lagged_theta_logistic_growth,partial_5pct,20k,theta,1.8624221105104828,1.8624221105104828,0.0,partial_5pct
A2780cis,lagged_theta_logistic_growth,partial_5pct,30k,theta,1.8624221105104828,1.8624221105104828,0.0,partial_5pct
A2780cis,lagged_theta_logistic_growth,partial_5pct,20k,lag_time,1.4378225186922449,1.4378225186922449,0.0,partial_5pct
A2780cis,lagged_theta_logistic_growth,partial_5pct,30k,lag_time,1.4378225186922449,1.4378225186922449,0.0,partial_5pct
