time,observed,predicted,cell_line,density,dose,ic_label,timing_hypothesis
12.0,2534.660455333333,3281.2611127387177,A2780cis,30k,1.0,IC50,cis_gradual_only
13.0,3853.449228666667,3288.029243064356,A2780cis,30k,1.0,IC50,cis_gradual_only
14.0,4116.669907333334,3281.9844743190815,A2780cis,30k,1.0,IC50,cis_gradual_only
0.0,100.0,100.0,A2780cis,30k,1.47,IC75,cis_gradual_only
1.0,73.88472200000001,110.71208408570676,A2780cis,30k,1.47,IC75,cis_gradual_only
2.0,143.64463766666665,145.4749764281326,A2780cis,30k,1.47,IC75,cis_gradual_only
3.0,301.875849,217.36341834360715,A2780cis,30k,1.47,IC75,cis_gradual_only
4.0,670.1066746666667,354.9439144425887,A2780cis,30k,1.47,IC75,cis_gradual_only
5.0,1170.9108796666667,606.0695587432305,A2780cis,30k,1.47,IC75,cis_gradual_only
6.0,1348.3380016666667,1022.5147311603918,A2780cis,30k,1.47,IC75,cis_gradual_only
7.0,1881.759761,1594.5009443333668,A2780cis,30k,1.47,IC75,cis_gradual_only
8.0,1606.1887733333333,2185.7927926586,A2780cis,30k,1.47,IC75,cis_gradual_only
9.0,2421.258526333333,2628.1171781671665,A2780cis,30k,1.47,IC75,cis_gradual_only
10.0,1957.2380400000002,2875.3446666032623,A2780cis,30k,1.47,IC75,cis_gradual_only
11.0,2537.103395,2981.6245081540637,A2780cis,30k,1.47,IC75,cis_gradual_only
12.0,2244.322531,3010.342702813461,A2780cis,30k,1.47,IC75,cis_gradual_only
13.0,2827.4429400000004,3001.11318242143,A2780cis,30k,1.47,IC75,cis_gradual_only
14.0,3433.938387333333,2974.0114747988478,A2780cis,30k,1.47,IC75,cis_gradual_only
0.0,67.0,67.0,A2780Naive,20k,0.67,IC25,cis_onset_only
1.0,305.18962200000004,139.4441616517701,A2780Naive,20k,0.67,IC25,cis_onset_only
2.0,465.63738433333333,400.2078646384651,A2780Naive,20k,0.67,IC25,cis_onset_only
3.0,790.214892,955.8956048722637,A2780Naive,20k,0.67,IC25,cis_onset_only
4.0,880.948534,1674.341610141533,A2780Naive,20k,0.67,IC25,cis_onset_only
5.0,1277.0010803333332,2321.2504553917533,A2780Naive,20k,0.67,IC25,cis_onset_only
6.0,1612.01223,2777.9237636217786,A2780Naive,20k,0.67,IC25,cis_onset_only
7.0,2016.4244216666668,3054.44237413901,A2780Naive,20k,0.67,IC25,cis_onset_only
8.0,2081.411111,3206.848795848939,A2780Naive,20k,0.67,IC25,cis_onset_only
9.0,2395.0547066666663,3285.917690766718,A2780Naive,20k,0.67,IC25,cis_onset_only
10.0,2537.1984183333334,3325.120034343192,A2780Naive,20k,0.67,IC25,cis_onset_only
11.0,3073.8874999999994,3343.7318368531974,A2780Naive,20k,0.67,IC25,cis_onset_only
12.0,3042.368325666667,3352.107075439819,A2780Naive,20k,0.67,IC25,cis_onset_only
13.0,3537.7463733333334,3355.577213643742,A2780Naive,20k,0.67,IC25,cis_onset_only
14.0,3458.3808643333336,3356.801112038789,A2780Naive,20k,0.67,IC25,cis_onset_only
0.0,67.0,67.0,A2780Naive,20k,1.0,IC50,cis_onset_only
1.0,164.83707566666666,139.4441616517701,A2780Naive,20k,1.0,IC50,cis_onset_only
